股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
000632,三木集团,综合,综合,2023-11-16,2024-03-11,4.5,3.3,-0.2667,-0.0682613699074119
301027,华蓝集团,建筑装饰,工程咨询服务,2024-03-04,2024-03-11,8.67,8.49,-0.0207,-0.0527005511509944
001336,楚环科技,环保,环保设备,2024-03-04,2024-03-11,18.82,19.84,0.0546,0.0225994488490056
600455,博通股份,计算机,软件开发,2024-03-04,2024-03-11,18.42,19.26,0.0456,0.0135994488490056
300721,怡达股份,基础化工,化学制品,2024-02-26,2024-03-11,10.3,10.07,-0.0221,-0.0311886163138695
688448,磁谷科技,机械设备,通用设备,2024-03-04,2024-03-11,24.56,24.99,0.0177,-0.0143005511509944
000593,德龙汇能,公用事业,燃气,2024-02-19,2024-03-04,4.55,5.65,0.2418,0.0583339021091231
300621,维业股份,建筑装饰,装修装饰,2024-02-26,2024-03-04,8.41,7.91,-0.0593,-0.0370985246116671
300966,共同药业,医药生物,化学制药,2024-02-26,2024-03-04,16.99,19.69,0.1587,0.180901475388333
000586,汇源通信,通信,通信设备,2024-02-02,2024-03-04,8.18,11.9,0.4548,0.406052216520361
001238,浙江正特,轻工制造,文娱用品,2024-02-26,2024-03-04,17.84,17.46,-0.0212,0.00100147538833295
001336,楚环科技,环保,环保设备,2024-02-02,2024-02-26,22.71,20.04,-0.1174,-0.189960202416085
301126,达嘉维康,医药生物,医药商业,2024-02-19,2024-02-26,7.85,9.28,0.1824,-0.0279373732956806
002667,威领股份,机械设备,专用设备,2024-02-02,2024-02-26,7.35,8.19,0.1143,0.0417397975839146
600455,博通股份,计算机,软件开发,2024-02-19,2024-02-26,16.01,18.76,0.1718,-0.0385373732956806
603172,万丰股份,基础化工,化学制品,2024-02-19,2024-02-26,11.67,12.8,0.0974,-0.112937373295681
300621,维业股份,建筑装饰,装修装饰,2024-02-02,2024-02-19,7.89,6.89,-0.1264,-0.0125663087338735
001238,浙江正特,轻工制造,文娱用品,2024-02-02,2024-02-19,16.83,15.64,-0.0705,0.0433336912661265
002857,三晖电气,电力设备,电网设备,2024-02-02,2024-02-19,11.06,9.65,-0.127,-0.0131663087338735
300626,华瑞股份,电力设备,电机,2024-02-02,2024-02-19,6.99,5.68,-0.1871,-0.0732663087338735
600692,亚通股份,房地产,房地产开发,2023-12-28,2024-02-02,6.14,6.57,0.0714,0.335832128898479
600202,哈空调,机械设备,通用设备,2024-01-19,2024-02-02,5.76,4.58,-0.2042,0.0213275597464811
605287,德才股份,建筑装饰,装修装饰,2024-01-05,2024-02-02,16.81,12.13,-0.2782,0.000535815008754326
600455,博通股份,计算机,软件开发,2024-01-26,2024-02-02,23.1,17.91,-0.2247,-0.00782916215779816
300854,中兰环保,环保,环境治理,2024-01-26,2024-02-02,16.06,11.98,-0.2538,-0.0369291621577982
002748,世龙实业,基础化工,化学原料,2024-01-12,2024-02-02,9.91,7.15,-0.2784,-0.00374668614425011
300883,龙利得,轻工制造,包装印刷,2024-01-26,2024-02-02,6.35,4.84,-0.2386,-0.0217291621577982
301287,康力源,轻工制造,文娱用品,2024-01-19,2024-02-02,35.72,25.57,-0.2841,-0.0585724402535189
603172,万丰股份,基础化工,化学制品,2024-01-12,2024-01-26,18.13,14.78,-0.1847,-0.11091590561851
001336,楚环科技,环保,环保设备,2024-01-19,2024-01-26,25.86,25.71,-0.0061,0.0049540155093023
001259,利仁科技,家用电器,小家电,2024-01-05,2024-01-26,29.48,29.44,-0.0013,0.0776971567347749
001238,浙江正特,轻工制造,文娱用品,2024-01-12,2024-01-19,22.16,23.48,0.0594,0.122831248881094
600791,京能置业,房地产,房地产开发,2023-11-23,2024-01-19,4.89,4.55,-0.0695,-0.00545474352651931
600455,博通股份,计算机,软件开发,2023-11-23,2024-01-19,25.31,23.16,-0.0849,-0.0208547435265193
300883,龙利得,轻工制造,包装印刷,2024-01-05,2024-01-12,6.98,6.91,-0.01,-0.004371655332561
002486,嘉麟杰,纺织服饰,纺织制造,2024-01-05,2024-01-12,2.99,3,0.0033,0.008928344667439
600768,宁波富邦,有色金属,工业金属,2024-01-05,2024-01-12,11.6,11.37,-0.0195,-0.013871655332561
600202,哈空调,机械设备,通用设备,2024-01-05,2024-01-12,6.22,6.11,-0.0176,-0.011971655332561
603172,万丰股份,基础化工,化学制品,2023-12-21,2024-01-05,17.21,17.71,0.0293,0.0240493413695454
300804,广康生化,基础化工,农化制品,2023-12-28,2024-01-05,30.67,30.8,0.0042,-0.0156314104705601
002098,浔兴股份,纺织服饰,纺织制造,2023-12-28,2024-01-05,6.43,6.6,0.0271,0.00726858952943986
300295,三六五网,传媒,数字媒体,2023-12-28,2024-01-05,12.01,12.07,0.005,-0.0148314104705601
300626,华瑞股份,电力设备,电机,2023-12-21,2024-01-05,10.52,10.88,0.0342,0.0289493413695454
002696,百洋股份,农林牧渔,饲料,2023-11-30,2024-01-05,6.88,6.73,-0.0218,-0.0313522807277684
600202,哈空调,机械设备,通用设备,2023-08-30,2023-12-28,5.77,6.1,0.057,-0.0374684710090824
300883,龙利得,轻工制造,包装印刷,2023-11-16,2023-12-28,7.07,7.34,0.0381,0.0312540157927918
002295,精艺股份,有色金属,工业金属,2023-12-21,2023-12-28,8,7.86,-0.0173,-0.00300278215555474
301063,海锅股份,电力设备,风电设备,2023-12-21,2023-12-28,22.07,22.27,0.0089,0.0231972178444453
