股票代码,股票名,行业分类,二级行业,买入日期,卖出日期,买入价格(前复权),卖出价格(前复权),涨幅,相对收益(999999)
000609,中迪投资,房地产,房地产开发,2024-02-19,2024-02-26,3.88,4.81,0.2397,0.0293626267043194
002377,国创高新,房地产,房地产服务,2024-02-02,2024-02-26,2,1.9,-0.05,-0.122560202416085
002316,亚联发展,非银金融,多元金融,2024-02-19,2024-02-26,3.04,4.06,0.3355,0.125162626704319
002856,美芝股份,建筑装饰,装修装饰,2024-02-02,2024-02-26,8.24,8.2,-0.0049,-0.0774602024160854
002861,瀛通通讯,电子,消费电子,2024-02-19,2024-02-26,7.14,9.16,0.2818,0.0714626267043194
002591,恒大高新,基础化工,化学制品,2024-02-19,2024-02-26,3.75,4.71,0.256,0.0456626267043194
300736,百邦科技,电子,其他电子,2024-01-19,2024-02-19,12.23,11.95,-0.0229,0.290788616404424
002199,东晶电子,电子,元件,2024-02-02,2024-02-19,6.16,4.94,-0.1981,-0.0842663087338735
300076,GQY视讯,电子,光学光电子,2024-01-26,2024-02-19,4.99,3.42,-0.3146,-0.00858267889122699
300405,科隆股份,基础化工,化学制品,2024-02-02,2024-02-19,5.28,4.3,-0.1856,-0.0717663087338735
